"admingroup","Admin Group"
"credit_index_criteria","Credit Index criteria: "
"system_built","System Built"
"third_party_organization_and_code","third-party organizations and the code "
"available_parameters","Available parameters:%companyname% said the company name;%username% represents the user name;%userid% means that the user ID"
"the_user_must_already_exist","The user must already exist"
"expired_that_can_not_log_back","expires, that can not log back"
"menu_display","Menu display "
"designated_authority","designated authority"
"the_super_administrator_has_all_privileges","In any event specified, the super administrator has all rights"
"display_objects","show object "
"does_not_appear_in_its_advertising_space_and_advertising","If the non-selected items in the space does not display advertising and advertising, remove the label parameters: groupid "
"pattern","pattern"
"flash_image_rotation","flash image rotation"
"code","code"
"site_built","Site built"
"site_external","Site external"
"last_backup_time","Last backup:"
"submit_and_tips","Are you sure you submit? Will overwrite the existing language files submitted"
"backup_type","Backup Type:"
"backup_file_type","File Type:"
"multi_volume","By Volume"
"single_volume","No Volume"
"all_site_data_backup","all data backup sites"
"notes","Notes"
"backup_now","Backup Now"
"on_backup_ing","backup ..."
"link_address","link address"
"data_has_been_copied_to_the_clipboard","data has been copied to the clipboard"
"clear_now","immediate clean-up"
"please_wait","Please wait ..."
"album_category","Album Category"
"album","album"
"title_display","display title"
"applicable_membership_type","applicable membership type:"
"membership_type","Member Type"
"applicable_member_group","for members of group:"
"default_setting","default settings"
"remove","remove"
"empty","empty"
"executive","implementation"
"please_paste_in_the_right_side_of_the_sql_statement","Please paste in the right side of the SQL statement:"
"upload_and_restore_database","Please upload the file to the backup directory <strong>/data/backup_%s</ strong> be restored."
"file_name","File Name"
"backup_time","backup"
"file_size","Size"
"file","file"
"this_action_can_not_be_restored","restore the file%s
 This action can not be restored, make sure to do"
"top_categories","top categories"
"parent_categories","Category Parent"
"title_keyword","name keywords:"
"is_empty_or_zero_never_expires","is empty or 0 for never expires"
"add_more_than_one_line_on_behalf_of_a_record","You can add more than one line on behalf of a record"
"top_category_name_not_support_special_sign","a category name appears not to have signed"
"category_name","Category Name"
"add_method","Add by:"
"add_one_by_one","added one by one"
"copy_from_the_industry_classification","copy from the Industrial Classification"
"enterprise_direct_keyword","Enterprise direct keyword"
"must_setting_first","such as: www.phpb2b.com, you must first do relevant <a href='setting.php?do=functions'>set</ a> and Analysis"
"image_format_support","(supported formats GIF, JPG, JPEG, PNG)"
"optimization_of_the_name","Optimization of the name"
"if_choose_not_disorders_may_lead_to","If you choose not to cover, then the classification may lead to disorder"
"overcast","coverage"
"file_checksum","File Checksum"
"check_that_the_file","%s file verification is for official release as the basis for checking the files, click the button below to start checking."
"start_check","start check"
"last_modified","last modified"
"pushed_to_the_news","pushed to the News"
"digest","Summary"
"currently_supports_two_categories","currently supports two categories"
"bold","bold"
"italic","italic"
"underline","underline"
"automatically_generated","automatically generated"
"grade","level"
"system_tools","System Tools"
"position_classification","job classification"
"job","job"
"invalid","Invalid"
"effective","effective"
"the_industry","the industry"
"the_city","City"
"date_and_time","Date and time"
"if_you_changed","If you change a certain type of number, the data may cause errors in the supply and demand have been."
"send","send"
"collection","collection"
"permissions","permission"
"per_day","per day"
"search_station_outside","off-site search"
"pay_method","payment"
"revert","Reply"
"switch_the_shelf","on/off the shelf"
"support","supported"
"online_payment","online payment"
"logs","log"
"business_information","business information"
"custom_membership_groups","member of group membership component system, custom membership groups, and special membership group."
"system","System"
"customize","custom"
"special","special"
"integral_between","points between"
"automatically_selected_when_registration","default member group will be automatically selected when the user registration."
"send_time","Sent"
"send_to","Send to"
"fill_the_other_account","Please fill in each other's account"
"only_need_relative_url","station just a relative address to link"
"gather_rules","into line 4, the first line of the address that gathering, the second line that links the rules, said the title of the third line of the rules, content rules, said fourth line,"
"deal_the_same_title","whether to deal with the same title:"
"gather_url_and_rules","collection address and rule:"
"focus_headline","Focus headline"
"do_not_change_non_special_need","such as non-special needs, do not change"
"default_not_points","(default is 0, do not need any points)"
"view_points_required","View Points Required:"
"recharge","top up"
"total","total"
"subtotal","Subtotal"
"order_date","order date"
"to_install_or_uninstall_operation_tip","Tip: Please display the title by name and said the choice to install or uninstall operation."
"version","version"
"out_station_submit","-site submit"
"no_verify_passing","do not pass review"
"moderated","moderation"
"if_also_update_language_files","is also update the other language file"
"ip_address","IP address"
"sender","sender"
"accepter","receiver"
"visit_permission","View Permissions:"
"if_need_check","need to review:"
"remind","remind"
"empty_will_be_default_url","is empty, the system default address"
"generally_do_not_need_to_change","generally do not need to change"
"back","Back"
"default_domestic_and_international_exhibitions","show the default type of exhibition is divided into domestic and international exhibitions."
"reference_material","References"
"company_direct","According to the search, and jump directly to the corporate home page"
"only_english_letters","only in English"
"top_domain_support","top-level domain support:"
"sub_domain_support","second level domain name support:"
"last_login_time","Last Login Time:"
"last_ip_address","Last login IP address"
"not_modify_not_complete","If you do not want to change, you do not fill out the"
"balance","Balance:"
"business_hours","Business Services Time:"
"free_post_trade","Free Post Trade"
"comments_or_suggestions","advice or recommendations"
"date_format","Date Format:"
"time_difference","time difference:"
"any_format","in any format, such as %Y-%m-%d means"
"the_time_difference_between_local_time_and_gmt","time difference between local time and GMT, GMT time is:"
"static_optimization","static optimization"
"minimum","minimum"
"maximum","maximum"
"conditions","conditions:"
"ignore_all_the_following_conditions","all (ignore all the following conditions)"
"the_users_are_not_logged_in_days","days are not logged in user"
"user_number_between","User ID in the"
"between","between"
"allow_the_release","permit issued"
"calling_code","call code"
"what_is_adzone","Advertising is a collection of ads, you can use the advertising code calls the specified ad."
"information","Information"
"allow_the_opening_of","allow open"
"the_default_length_of_service","default service period"
"service_after_the_expiration","service after the expiry to"
"if_the_image_or_flash_the_system_will_automatically","If it is pictures or Flash, the system will automatically"
"link_mode","Link mode"
"local_upload","local upload"
"remote_url","remote address"
"point_to_url","point to address"
"empty_that_never_expires","blank that never expires"
"display_pictures_after_the_expiration_of","after the expiry of display pictures"
"empty_will_not_display_any_media_after","is empty after said expiration does not display any media"
"scale","scale"
"cycle_time","cycle"
"organizers","sponsor"
"sponsor","Undertaker"
"co_organizer","co-organized"
"supporters","support unit"
"extension","extension"
"data","data"
"basic","basic"
"template_compilation","template compilation"
"measure_unit","units"
"currency_unit","currency"
"prices_trend","prices"
"horizontal","horizontal"
"vertical","vertical"
