"action_successfully","Operation successful"
"success","Operation successful"
"thanks_for_advise","Thank you for your participation"
"action_failed","operation failed"
"visitor_forbid","publish information against tourists"
"user_feedback","user reviews"
"companyname_has_exists","%s already exists"
"undefined_operation","undefined operation"
"aborted_clients","abort"
"access_denied","Access Denied"
"file_write_error","file write failed"
"token_error","Checksum is wrong"
"file_open_error","File Open Error"
"action_complete","Operation completed"
"record_not_exists","you want to query the data does not exist"
"congratulate","Congratulations, the operation is successful"
"file_not_exists","file <i>%s</i> does not exist"
"sys_error","System Error"
"no_perm","You do not have sufficient permissions"
"invalid_capt","<center> Sorry, that key input in error, please <a href='javascript:history.go(-1)'> Back </a> and re-enter. </center>"
"pls_reset_passwd","please change your password"
"email_sended_success","Mail sent successfully"
"email_sended_false","mail failure"
"wait_for_check","submitted successfully, please wait for approval"
"under_checking","%s is being reviewed"
"order_submited","Order submitted successfully and we will contact you as soon as possible"
"db_conn_error","database link error:%s"
"db_conn_error_no","Error number:%s"
"function_disable","This feature is temporarily not available"
"charge_check","recharge amount must be numeric"
"login_faild","Login failed"
"login_pwd_wrong","Password error"
"member_checking","user audit"
"login_failed","Login failed, please re <a href='logging.php'>login </a>"
"please_input_username","Please enter your user name"
"please_input_right_username","Please enter the correct user name"
"please_input_password","Please enter the password"
"please_input_email","Please enter a valid Email"
"member_not_exists","user does not exist"
"member_has_exists","user name already exists"
"login_pwd_false","password error"
"please_login_first","Please <a href='logging.php'> login </a>"
"wrong_validate","Enter the verification code is wrong"
"invite_code_error","invitation code is wrong"
"actived_and_login","successfully activated, please continue to <a href='logging.php'> login </a>."
"reset_and_login","password set up, please continue to <a href='logging.php'> login </a>."
"register_closed","Web site shut up"
"invalid_username","User name not valid"
"not_allowed_forbid_words","allow the registration contains the words"
"email_exists","Email address already exists"
"not_enough_points","view the information needs of% d points, your points is not enough"
"please_input_companyname","Please enter the correct name of the company"
"please_input_companydesc","Please enter the necessary Company"
"please_reinstall_program","Please reinstall the package"
"save_failed","Data save failed"
"data_not_exists","This information does not exist"
"system_error","System Error"
"pls_active_your_account","Go to your mailbox to receive mail, and follow the prompts in the message to activate your account"
"pls_wait_for_check","Please wait for administrators to review"
"invalid_submit","illegal to submit information"
"unvalid_product","The product has been off the shelf"
"thanks_for_adding_market","Thank you for submitting a market database, please wait for approval"
"ads_on_sale","advertising space for lease"
"ads_no","The advertising does not have any ads"
"has_been_expired","Sorry,%s (expired)"
"semilar_offer_post","similar to the title already exists, modify and then submit"
"get_passwd_false","Failed to retrieve password"
"email_send_false","e-mail sending fails, the error message:%s"
"getpasswd_email_sended","message has been sent, please follow the prompts to reset the password after the charge."
"wrong_email_data","false Email Address"
"wrong_email_format","Email address format is incorrect"
"old_pwd_error","the original password is incorrect"
"auth_expired","verify code has expired"
"invalid_request","Invalid request"
"company_center","Company Database"
"news_info_not_exists","number (#%s) information does not exist"
"info_center","Information Center"
"no_data_deleted","no data is deleted"
"record_status","has %s"
"wait_apply","Please wait for approval"
"invalid_datetime","Invalid date"
"invalid_user","Invalid user"
"sth_wrong_occured","Unknown error"
"submit_invalid",""submit data" Error"
"msg_wait_check","Please wait for approval"
"msg_wait_success","published success"
"link_added","added to the Friends of Success"
"pls_del_first","Please remove the product category"
"one_day_max","You have reached the maximum number of daily release"
"post_max","You have reached the maximum number of published"
"allow_refresh_day","You have reached the maximum number of daily refresh"
"re_complete_corp","Please complete the basic information business"
"undefined_error","Unknown error"
"feedback_already_submit","message has been submitted"
"no_company_perm","non-enterprise users can not exhibiting"
"been_favorited","You have been the collection of information"
"company_checking_or_invalid","Enterprise Information incomplete or under review"
"company_info_tip","Enterprise Information %s"
"invalid_space_name","The enterprise has not yet opened shop"
