"latest_browse","Latest visit"
"remember_password","Remember Pass"
"your_last_login","Last Login"
"you_can","You can "
"click_here_to_try_again","Click here to try again"
"revisit_this_page","revisit this page. "
"report_the_issue_to","report this issue"
"administrator","administrator"
"visit_again_soon","visit again"
"this_page","the content of this page"
"search_result_paging","Search <b>%s</b> of about <b>%d</b> be the result, the following is the first <b>%d-%d</b> section. (with time <b>%s</b> seconds)"
"hide_or_show_option","Hide/Show options"
"user_login","User Login"
"login_and_see_more","sign in to see more"
"online_ads","online advertising"
"service_entrance","Entrance"
"main_city","main cities"
"main_industry","major industry"
"expand_or_no","Collapse/Expand"
"industry_category","Category"
"area_category","area classification"
"invest_info","Join information"
"area_invest_info","over investment"
"brand_zone","Brand Zone"
"hot_invest_project","hot item"
"no_search_result_for_you","no search <em>%s</em> results. <br> Please re-enter the correct keyword search."
"law_statement","<strong> Disclaimer: </strong>%site_name% site presents information provided by the members themselves, members provided according to the law should take full responsibility for any information, this website assumes no responsibility. investment risk transactions need to be cautious, to protect your interests in the transaction before you see the other three cards in order to ensure the safety of your transactions! If it is found incorrect or false information, Please click here to contact the site, the site will be promptly dealt with accordingly. "
"wholesale_price","Wholesale price: "post_wholesale_info","Post wholesale information"
"back_portal","Portal"
"similar_search","Search"
"set_home_page","Home"
"add_favorite","Favorite"
"advanced_search","Advanced Search"
"success_case","success stories"
"copyright","Copyright"
"service_email","Customer Service Email"
"membership_links","Membership"
"new_products","Product"
"full_the_data","This information does not have any description, <a href='redirect.php?url=/virtual-office/brand.php' target='_blank'> hasten to add? ...</A>"
"after_free_reg","Join Free And:"
"free","free"
"register","sign in"
"pls_reset_passwd","Please reset your password"
"been_expired","expired"
"comments_and_suggestions","views and recommendations"
"board","Announcements"
"build_your_site","Build site"
"post_offer_trade","Post trades"
"spread_your_products","Post products"
"meet_more_friends","Business"
"hots","hot"
"hot_fair","Hot Show"
"hot_product","Hot Products"
"hot_news","hot news"
"welcome_your_idea_or_advise","Welcome to our website and services for their valuable comments or suggestions:"
"idea_or_advise","advice or recommendations"
"site_news","Site news"
"investment","Join"
"industry_brand","World brands"
"apply_industry_brand","I want to list"
"select_industry_and_post","Select a category, business opportunities for submit"
"newest_company","Enterprise"
"post_now","immediately publish their own information"
"newest_sell","Latest Selling"
"newest_buy","Latest Buying"
"newest_resume","Latest resume"
"visit_phpb2b_official_site","immediate access to the PHPB2B Technology Forum, and many more people use the skills PB"
"service_license","Service Terms"
"customer_service_center","customer service center"
"my_office_room","My business room"
"customer_service","Service"
"free_post","Free post"
"hello_welcome_to","Hello, Welcome to %s"
"pls_login","Please login"
"search_product","Products"
"search_company","Company"
"search_offer","Trades"
"search_news","Info"
"basic_info","Basic Information"
"offer_info","Supply"
"browse_big_picture","browse big picture"
"activex_not_support","Your browser does not support the component"
"download_latest_flash_x","to download the latest player component"
"download_attach","download attachment"
"download_article","Download this article"
"adv_search","Advanced Search"
"agreement","Use Agreement"
"sub_special","topic"
"sub_industry","industry sub-station"
"sub_area","area sub-station"
"sub_station","sub-station"
"sub_default_desc","you are browsing the %s. this site in order based on the enterprise, market-oriented, guiding development of the industry, and guide for the purpose of consumption, through a powerful, flexible system of modules and good scalability, the full support of enterprise network marketing , image advertising, e-commerce, enterprise information portal and mobile commerce applications, to some extent to meet the small and medium conventional site building, e-commerce site building and construction of personalized information display platform changing needs. "
"about_us","About Us"
"forgot_login_name","Forgot your login name?"
"email_incorrectly_not_send","Email address is wrong, can not send!"
"email_format_error_not_send","message format error, can not be sent!"
"login_name_exist_send_failed","login name does not exist, send failed!"
"ualink_e_commerce","Ualink E-Commerce"
"enlarge_image","enlarge"
"publish_time","Date:"
"released_by_personnal","The information released to individual members"
"member_type","Membership Type:"
"reputation_index","Reputation Index"
"reputation_index_n","Reputation Index:"
"authentication_type","Authentication Type:"
"details","details"
"to_inquiry","I want to inquiry"
"to_edit","I want to edit"
"views","View:"
"members_view","Contact Member after landing site up to see"
"register_site_member","If you are the registered member, please"
"not_register_site_member","site if you are not a registered member, please"
"registered_site_member","become a registered member of this site."
"add_information_release","Other information released by the Member"
"product_category","Products"
"category_topics","Classification of topic"
"maybe_browse_categories","You may also visit the following categories:"
"recommended","New Products"
"nventory","Product Library"
"fill_inquiry_information","fill in the information inquiry"
"inquiry_successful","Inquiry successful"
"inquiry_steps","Inquiry steps:"
"receiver","receiver:"
"inquiry_content","Inquiry content:"
"message_the_title","I want to shout the title:"
"additional_information","Additional information:"
"my_contacts","my contact:"
"name","Name:"
"inquiry","I want to inquiry"
"products_picture","product image"
"supply_information_company","Supply of information/Company"
"online_contact","online contact"
"abstract","[Abstract]"
"publisher","Publisher"
"station_message","Site Comments"
"send_message","Send Message"
"recommended_company","Recommended Company"
"buy","buy"
"supply","supply"
"inventory","inventory"
"merchants","investment"
"join","join"
"cooperation","cooperation"
"agent","agents"
"wholesale","wholesale"
"important_channel","major channel"
"recommend_company_database","recommended the company database"
"professional_market","professional market"
"quick_navigation","Quick Navigation"
"release_supply_offer","Free Post Trade"
"client_terms_Service","Customer Service Terms"
"web_login_pact","Site Registration Agreement"
"all_sub_stations","all sub-station"
"recommended_supply_demand","Recommended supply and demand"
"give_us_a_message","Leave us a message:"
"warm_reminder","Reminder"
"service_hotline","Customer service hotline:"
"reply_submit_issue","Dear user: For you to submit comments or suggestions, we would, within three working days in the reply to you, please refer to your mailbox and read the message content."
"valid_time","valid time:"
"product_title","Product Title"
"offer_title","supply and demand of the title:"
"add_company","Join the Enterprise Library"
"hotline","Hotline:"
"new_recommended_company","latest recommended enterprise"
"find_marketing_company","<em> allow more businesses to easily find you! So what? </em> <br /> the first step to internet marketing, with a sincere heart to win the trust of customers, investment Chinese domain name to protect the national brand clients trust, investment Chinese domain name "
"join_company","New Companies"
"add_yellow_page","join the enterprise Filmography"
"logon_deal","Sign up now to win online trading"
"release_product","Published Products"
"promotion_company","promote business"
"add_time","Company/accession date"
"location","location"
"integrity_index","Integrity Index"
"guestbook","Give me a shout"
"mainly_products","Main:"
"industry_view_company","by %s View company"
"area_view_company","by %s View company"
"fair_introduction","Info:"
"fair_content","Show the contents:"
"fair_time","Show time:"
"address","Location:"
"fair_size","show the scale:"
"organizer","Host:"
"sponsor","Host:"
"support","supported:"
"co_organizer","co:"
"notes","Notes:"
"fair_enter_name","Show Registration"
"fair_business","show exhibitors"
"enter_name_fair","I registered for the exhibition"
"find_fair","find event"
"new_fair","New expo"
"detail","more>> "
"recommended_fair","Recommended Show"
"fair_details","Show Info"
"area_choose","selected by %s"
"sort_choose","Select by category"
"hr_information","jobs"
"hr_jobs","Job"
"hr_company","recruiters"
"jobs_area","Location:"
"jobs_area_n","workplace"
"post_time","Date:"
"post_time_n","Publish Time"
"new_hr","New Job"
"hot_area","hot areas"
"jobs_search","Job Search"
"salary","Salary:"
"free_reg","Become a member"
"free_reg_member","Sign up"
"local_sitename","site name:"
"local_siteurl","Site address:"
"local_sitelogo","web site logo image:"
"local_logourl","logo Address:"
"contact_mail","Contact E-mail"
"add_details","complete information"
"main_prod","Main products or services"
"main_prod_n","Main products or services:"
"your_site_name","Guizhan name:"
"your_site_address","Guizhan Address:"
"your_site_logo","Guizhan logo Address:"
"your_site_description","Guizhan description:"
"add_details_link","link at the same time, please do apply for a link to this site"
"if_forget_password_pls_reset","<p> If you forget your password: </p> <p> 1, via Email back </p><p> 2, contact our customer service </p>"
