"homepage","首页"
"common_action","常用操作"
"welcome_page","欢迎页面"
"settings","网站设置"
"member_manage","会员管理"
"member_manage_center","会员管理中心"
"my_notes","我的笔记"
"global","全局"
"global_set","全局设置"
"site_info","站点信息"
"reg_and_visit","注册与访问"
"functions","网站功能"
"cache_setting","缓存设置"
"time_set","时间设置"
"secure_set","安全验证"
"industry","行业分类"
"area","地区"
"announcement","网站公告"
"userpage","自定义页面"
"service_center","客服中心"
"email_set","Email邮件设置"
"info_manage","信息管理"
"com_info_manage","商业信息管理"
"offer","供求信息"
"product_center","产品中心"
"yellow_page","公司库"
"pro_market","专业市场"
"job","招聘信息"
"fair","展会信息"
"industry_news","行业资讯"
"cp_standard","标准法规"
"standard","标准法规"
"tag_center","标签库"
"keyword_center","信息关键字"
"companynews","企业动态"
"industry_dict","行业词典"
"member_center","用户中心"
"membergroup","会员组"
"add_member","添加会员"
"pms","短消息"
"adminer","管理员"
"change_pass","密码修改"
"ads","广告"
"ads_manage","广告管理"
"add_ads","添加广告"
"adzone","广告位"
"service_manage","商品管理"
"order_center","订单中心"
"templet","语言风格"
"templet_language","语言包"
"company_templet","企业模板"
"system_templet","整站模板"
"nav","导航栏"
"system_tool","系统工具"
"cache","缓存"
"log_browse","日志查看"
"database","数据库"
"passport","通行证"
"check_file","文件校验"
"payment_method","支付方式"
"extension","扩展"
"trusts","诚信认证"
"forms","自定义表单"
"help_file","帮助文件"
"options","分类选项"
"plugin","插件"
"management","管理"
"transaction","交易管理"
"goods_list","商品管理"
"goods_cats","商品分类"
"pay_history","支付记录"
