"please_select","请选择"
"input_correct_uname","请输入正确的用户名"
"input_passwd","请输入密码"
"input_bt_uname","请输入介于5-20个字符的用户名"
"input_bt_passwd","请输入介于6-20个字符的密码"
"re_input_passwd","密码不一致请重新输入"
"uname_exist","用户名已经存在"
"input_email","请输入email"
"input_correct_email","请输入正确的Email"
"email_exist","email已经存在"
"check_fail","验证失败"
"must_input","该项为必填"
"correct_the_col","请修正该字段"
"input_format_email","请输入正确格式的电子邮件"
"input_correct_url","请输入合法的网址"
"input_correct_date","请输入合法的日期"
"input_correct_date_samp","请输入合法的日期 (ISO)，例如：2009-06-23"
"input_num_only","请输入合法的数字"
"input_int_only","该项只能输入整数"
"input_correct_card","请输入合法的信用卡号"
"value_not_equal","前后值输入不一致"
"file_forbid","文件名不合法"
"input_max_string","请输入一个长度最多是 {0} 的字符串"
"input_min_string","请输入一个长度最少是 {0} 的字符串"
"input_bt_string","请输入一个长度介于 {0} 和 {1} 之间的字符串"
"input_bt_val","请输入一个介于 {0} 和 {1} 之间的值"
"input_max_val","请输入一个最大为 {0} 的值"
"input_min_val","请输入一个最小为 {0} 的值"
"super_admin_uname","超级管理员帐号不能少于2个字符或者大于20个字符"
"super_admin_passwd","超级管理员密码不能少于3个字符或者大于20个字符"
"not_equal_passwd","两次输入密码不一致！"
"do_processing","处理中..."
"input_db_name","请输入数据库名称！"
