"service_hotline","客服热线："
"permanent","永久有效"
"expire_date","有效期"
"total_order_amount","总金额"
"order_status","订单状态"
"pay_status","支付状态"
"order_time","下单时间"
"sure_and_select_action","请确认并选择操作"
"submit_order","提交订单"
"submit_order_and_pay","提交订单并立即支付"
"pay_now","立即支付"
"office_room","商务室"
"invalid_user","无效用户"
"only_one_time_within_24_hours","24小时之内只能更新一次"
"offer_allow","发布供求"
"post_companynews","发布企业动态"
"product_allow","提交产品"
"job_allow","发布职位"
"companynews_allow","发布企业资讯"
"companynews","企业资讯"
"album_allow","发布企业相册"
"market_allow","发布市场信息"
"company_allow","注册公司信息"
"pms_allow","收发短消息"
"allow_space","建立企业空间"
"read_status","未读,已读"
"office_redirects","返回上一页,网站首页,商务室首页,供求信息,短消息"
"go_back","返回上一步"
"go_office_room","返回商务室"
"no_datas_now","目前没有任何数据"
"modify","修改"
"click_preview","点击预览"
"new_password_n","新密码："
"must_input_with_star","（提示：带<font class="red"> * </font>号的为必填项）"
"company_job","企业招聘"
"saving","保 存"
"now_you_have","当前你共有"
"account_product","条产品信息！"
"offer_n","供求信息："
"stating","统计"
"offer_post_attention","<strong>【请注意】：</strong> <br>
      　1. 审核并生效后，商业信息才能使用重发功能。<br>
      　2. 已经发布过的信息，请不要反复发布，一旦发现将被立即删除。<br>
      　3. 请及时更新过期信息，不想重新上网的过期信息，请及时删除。<br>
      　4. 如果是已发信息，建议您每天用“重发”功能来更新信息，让信息排名靠前。<br>
      　5. 修改商业信息只对信息内容作修改，并不会更新信息的排名。"
"product_management","产品管理"
"self_advertising","自助广告"
"ads_list","广告列表"
"ads_title","广告标题"
"details","详细说明"
"details_n","详细说明："
"apply","立即申请"
"company_album","企业相册"
"click_add","点击添加"
"upload_business_license","你可以在这里上传你的营业执照、荣誉证书等"
"title_n","标题："
"title","标题"
"description","描述："
"delete","删除"
"operation","操作"
"show_title","显示标题："
"simple_description","简单描述："
"attachment_upload","附件上传："
"image_size_format_provision","（图片大小不要超过200K ,格式gif,jpg,png 图片宽度最大为220像素效果最佳！）"
"confirm_submit","确认提交"
"business_card","企业名片"
"full_name","（全名）"
"company_name_n","公司名称："
"company_full_name","（公司全称）"
"phone","电话："
"fax","传真："
"mobile","移动电话："
"email_addr","电子邮件："
"flash_card_code","Flash名片代码："
"copy_to_clipboard","复制到剪贴板"
"old_password","旧密码："
"repeat","重复"
"password_description","<strong>【请注意】：</strong> <br><span class="zi">1. 请不要使用和用户名有雷同的密码。<br>2. 密码建议长度为6-20位之间，尽量使用数字和字母的结合。<br></span>"
"company_en_name","公司英文名称："
"sectors","行业类别："
"employees_number","员工人数："
"select","请选择"
"year_turnover","年营业额："
"business_model","经营模式："
"company_nature","企业经济性质："
"main_products","主营产品："
"character_limit","（100个字符以内）"
"location","所在地区："
"address","详细地址："
"zip","邮编："
"company_profile","公司介绍："
"text_length","文字最大长度: 250. 还剩: "
"legal_person","法人代表："
"company_registration_place","公司注册地："
"registration_year","注册年份："
"registration_funds","注册资金："
"real_fill","(请如实填写)"
"opening_bank","开户银行："
"account","帐 号："
"brand_name","品牌名称："
"main_business_place","主要经营地点："
"provinces_city_name","省市名"
"main_customer","主要客户群："
"example","（如超市，包装厂）"
"main_market","主要市场："
"contact_jobs","联系人职位："
"contact_phone","联系电话："
"format","格式：86-10-12345678"
"company_home","公司主页："
"latitude","地图所在纬度："
"longitude","地图所在经度："
"map_position","地图位置："
"map_coordinate","地图坐标："
"company_logo","企业徽标图片："
"logo_image","企业标识图片"
"favorites","信息收藏夹："
"favorites_tips","（<span class="gray">提示：</span>你可以删除已有的信息再重新收藏）"
"type","类 型"
"collection_time","收藏时间"
"selected","选中"
"delete_message","删除选中的信息"
"ok_delete","真的要删除这些信息吗？"
"no_collection_message","当前没有任何收藏信息"
"aim_at","针对"
"have_problem_send_email","商务室您有任何使用问题和建议，您可以发Email到："
"or","或"
"view_help","查看帮助"
"customer_hotline","网站客服热线："
"sales_hotline","网站销售热线："
"copyright","版权所有"
"online_customer","在线客服"
"msn_customer","MSN在线客服"
"access","访问"
"inquiry_product","询价商品"
"inquiry_time","询价时间"
"inquiry_details","询价详情"
"add_information","补充信息"
"order_total","订货总量"
"expected_price","期望价格"
"contact_way","联系方式"
"invitation_code","邀请码"
"copy","复制"
"copy_success","复制成功！"
"friendly_tip","友情提醒："
"invitation_code_time","你的邀请码在24小时内有效"
"browser_deny_set","被浏览器拒绝！请在浏览器地址栏输入'about:config'并回车然后将'signed.applets.codebase_principal_support'设置为'true'"
"job_title","招聘标题"
"job_title_n","招聘标题："
"created_date","创建日期"
"due_date","截止日期"
"due_date_n","截止日期："
"add","添加"
"job_list","招聘职位列表"
"sex","性别要求："
"job_number","招聘人数："
"education","学历要求："
"age","年龄要求："
"salary","薪水范围："
"job_address","工作地点："
"job_nature","工作性质："
"job_description","职位说明："
"our_partners","我们的合作伙伴"
"add_partners","添加合作伙伴"
"all_select","全选"
"delete_select","删除选中的"
"changes_our","修改我的"
"show_name","显示名称："
"link_address","链接地址"
"site_links","（站内链接，无须加http://前缀）"
"notes","备注："
"fill_submit","填好了，提交！"
"state","状态"
"time","时间"
"time_n","时间："
"add_news_show","（<span class="zi">友情提示：</span>可以添加公司最新动态信息，以显示在你的企业网站上！）"
"content","详细内容："
"news_title","新闻标题："
"information_statistics","信息统计页面"
"buy_number","条求购信息！"
"sell_number","条供应信息！"
"products_n","产品库："
"sms","短消息"
"send_message","发送消息"
"sms_tips","提示：短消息分为系统消息、询价消息以及普通消息（私人消息）"
"choose","选择"
"theme","主题"
"theme_n","主题："
"view_message","查看消息"
"sender","发送者："
"reply","回复"
"back","返回"
"send","发送"
"send_to","发送给："
