"latest_browse","最近浏览"
"remember_password","记住密码"
"your_last_login","最近一次登录"
"you_can","您可以"
"click_here_to_try_again","点此重试"
"revisit_this_page","重新访问此网页。"
"report_the_issue_to","将此问题报告给"
"administrator","管理员"
"visit_again_soon","稍后再访问"
"this_page","该页面内容"
"orderby_method","排序方式"
"sort_by_date","按时间排序"
"search_result_paging","搜索 <b>%s</b> 获得约 <b>%d</b> 条结果，以下是第 <b>%d-%d</b> 条。（用时 <b>%s</b> 秒）"
"hide_or_show_option","隐藏/显示选项"
"user_login","用户登录"
"login_and_see_more","登录后即可查看更多个性化内容！"
"online_ads","在线广告"
"service_entrance","服务入口"
"main_city","主要城市"
"main_industry","主要行业"
"expand_or_no","收起/展开"
"industry_category","行业分类"
"area_category","地区分类"
"invest_info","招商加盟信息"
"area_invest_info","各地招商"
"brand_zone","品牌专区"
"hot_invest_project","热点项目"
"no_search_result_for_you","没有你要搜索的&nbsp;<em>%s</em>&nbsp;结果。<br>请输入正确的关键词重新搜索。"
"law_statement","<strong>免责声明：</strong>%s网站所展示信息均由会员自行提供，会员依法应对其提供的任何信息承担全部责任，本网站对此不承担任何责任。投资有风险交易需谨慎，为保障您的利益，在交易前请先查看对方三证，以确保您的交易安全！如若发现不实或虚假信息，请速与网站联系，网站会及时进行相应处理。"
"wholesale_price","批发价："
"post_wholesale_info","立即发布批发信息"
"back_portal","返回门户"
"similar_search","相关搜索"
"main_business","主营业务"
"set_home_page","设为首页"
"add_favorite","加入收藏"
"advanced_search","高级搜索"
"success_case","成功案例"
"copyright","版权所有"
"service_email","客户服务邮箱"
"membership_links","合作伙伴"
"new_products","新品速递"
"full_the_data","该信息还没有任何描述，<a href="redirect.php?url=/virtual-office/brand.php" target="_blank">立即补充？...</a>"
"after_free_reg","免费注册后您可以："
"free","免费"
"register","注册"
"pls_reset_passwd","请重新设置您的密码"
"been_expired","已过期"
"comments_and_suggestions","意见与建议"
"board","公告栏"
"build_your_site","免费企业建站"
"post_offer_trade","发布供求商机"
"spread_your_products","在线推广产品"
"meet_more_friends","结交更多商友"
"hots","热门"
"hot_fair","热门展会"
"hot_product","热门产品"
"hot_news","热点新闻"
"welcome_your_idea_or_advise","欢迎您对我们的网站和服务提出宝贵的意见或建议："
"idea_or_advise","意见或建议"
"site_news","本网动态"
"investment","招商加盟"
"industry_brand","行业品牌"
"apply_industry_brand","我要上榜"
"select_industry_and_post","选择类别，立即发布商机"
"newest_company","最新加入企业"
"post_now","立即发布自己的信息"
"newest_sell","最新供应"
"newest_buy","最新求购"
"newest_resume","最新求职"
"visit_phpb2b_official_site","立即访问友邻B2B技术论坛，和更多的人交流PB使用技巧"
"service_license","服务条款"
"customer_service_center","客户服务中心"
"my_office_room","我的商务室"
"customer_service","客服中心"
"free_post","免费发布"
"hello_welcome_to","您好，欢迎来到%s"
"pls_login","请登录"
"search_product","找产品"
"search_company","找公司"
"search_offer","找商机"
"search_news","找资讯"
"basic_info","基本信息"
"offer_info","供求信息"
"browse_big_picture","浏览大图"
"activex_not_support","您的浏览器不支持该组件"
"download_latest_flash_x","下载最新的播放组件"
"download_attach","下载附件"
"download_article","下载本文"
"adv_search","高级搜索"
"agreement","使用协议"
"sub_special","专题"
"sub_industry","行业分站"
"sub_area","地区分站"
"sub_station","分站"
"sub_default_desc","你正在浏览的是%s。本网以立足企业，面向市场、指导行业发展、引导消费为宗旨，同时通过强大、灵活的功能模块及良好的系统扩展性，全面支持企业网络营销、形象宣传、电子商务、企业信息门户以及移动商务等应用，一定程度上满足了中小企业常规网站建设、电子商务网站建设及个性化信息展示平台建设的不断变化需求。"
"about_us","关于我们"
"forgot_login_name","忘记登录名？"
"email_incorrectly_not_send","Email地址有误，不能发送！"
"email_format_error_not_send","邮件格式错误，不能发送！"
"login_name_exist_send_failed","登录名不存在，发送失败！"
"ualink_e_commerce","友邻电子商务网"
"enlarge_image","放大图片"
"publish_time","发布时间："
"released_by_personnal","该信息为个人会员发布"
"member_type","会员类型："
"reputation_index","信誉指数"
"reputation_index_n","信誉指数："
"authentication_type","认证类型："
"details","详细说明"
"to_inquiry","我要询价"
"to_edit","我要编辑"
"members_view","联系方式本站注册会员登陆后才能查看"
"register_site_member","如果您是本站注册会员请 "
"not_register_site_member","如果您不是本站注册会员请 "
"registered_site_member","成为本站注册会员。"
"add_information_release","该会员发布的其他信息"
"product_category","产品分类"
"category_topics","分类专题"
"maybe_browse_categories","您也许还可以浏览以下分类："
"recommended","推荐产品"
"nventory","产品库"
"fill_inquiry_information","填写询价信息"
"inquiry_successful","询价成功"
"inquiry_steps","询价步骤："
"receiver","接收方："
"inquiry_content","询价内容："
"message_the_title","我要留言的标题："
"additional_information","补充信息："
"my_contacts","我的联系方式："
"name","姓名："
"inquiry","我要询价"
"products_picture","产品图片"
"supply_information_company","供应信息/公司"
"online_contact","在线联系"
"abstract","[摘要]"
"publisher","发布者"
"station_message","站内留言"
"send_message","发送消息"
"recommended_company","推荐企业"
"buy","求购"
"supply","供应"
"inventory","库存"
"merchants","招商"
"join","加盟"
"cooperation","合作"
"agent","代理"
"wholesale","批发"
"important_channel","重要频道"
"recommend_company_database","推荐公司库"
"professional_market","专业市场"
"quick_navigation","快速导航"
"release_supply_offer","免费发布供求"
"client_terms_Service","客户服务条款"
"web_login_pact","网站注册协议"
"all_sub_stations","所有分站"
"recommended_supply_demand","推荐供求"
"give_us_a_message","给我们留言："
"warm_reminder","温馨提醒"
"service_hotline","客服热线："
"reply_submit_issue","尊敬的用户：对于您提交的意见或建议，我们尽可能在三个工作日之内给您答复，请留意您的邮箱，并认真阅读邮件内容。"
"valid_time","有效时间："
"product_title","产品标题"
"offer_title","供求标题："
"add_company","赶快加入企业库"
"hotline","咨询热线："
"new_recommended_company","最新推荐企业"
"find_marketing_company","<em>让更多企业轻松找到您！还等什么？</em><br />使网络营销先行一步，用真诚的心赢得客户的信任，投资中文域名，保护民族品牌客户的信任，投资中文域名"
"join_company","最新加盟企业"
"add_yellow_page","加入企业大全"
"logon_deal","立即注册，赢取网上交易"
"release_product","发布产品"
"promotion_company","推广企业"
"add_time","公司/加入日期"
"location","所在地"
"integrity_index","诚信指数"
"guestbook","给我留言"
"mainly_products","主营："
"industry_view_company","按%s浏览公司"
"area_view_company","按%s浏览公司"
"fair_introduction","展会简介："
"fair_content","展会内容："
"fair_time","展会时间："
"address","地点："
"fair_size","展会规模："
"organizer","主办单位："
"sponsor","承办单位："
"support","支持："
"co_organizer","协办："
"notes","注意事项："
"fair_enter_name","展会报名"
"fair_business","展会参展商"
"enter_name_fair","我要报名参展"
"find_fair","找展会"
"new_fair","最新展会"
"detail","详细&raquo"
"recommended_fair","推荐展会"
"fair_details","展会信息"
"area_choose","按%s选择"
"sort_choose","按分类选择"
"hr_information","招聘信息"
"hr_jobs","招聘职位"
"hr_company","招聘单位"
"jobs_area","工作地点："
"jobs_area_n","工作地点"
"post_time","发布时间："
"post_time_n","发布时间"
"new_hr","最新招聘"
"hot_area","热门地区"
"jobs_search","职位搜索"
"salary","薪水范围："
"free_reg","马上免费注册成为会员"
"free_reg_member","免费注册会员"
"local_sitename","本站名称："
"local_siteurl","本站地址："
"local_sitelogo","网站徽标图片："
"local_logourl","徽标地址："
"contact_mail","联系人E-mail"
"add_details","填写信息"
"main_prod","主营产品或服务"
"main_prod_n","主营产品或服务："
"your_site_name","贵站名称："
"your_site_address","贵站地址："
"your_site_logo","贵站徽标地址："
"your_site_description","贵站描述："
"add_details_link","请申请链接的同时做好本站的链接"
"if_forget_password_pls_reset","<p>如果您忘记了密码：</p><p>1、通过Email取回</p><p>2、联系我们的客服</p>"
"reset_your_password","重新设置你的密码"
"times","次"
"re_enter_new_password","再次输入新密码"
"enter_new_password_again","再次输入你想设置的新密码"
"enter_correct_password","请输入正确的密码"
"enter_password_different","前后密码输入不一致"
"enter_valid_password","请输入介于6-20个字符的密码"
"next_get_password","下一步，取回密码"
"your_ongoing_operations","你目前进行的操作，需要"
"member_login","已经是会员，在此登录"
"forget_password","忘记密码？"
"code","验证码："
"refresh_code","点击图片可刷新验证码"
"unclear_see_numbers","如果看不清数字或字母?请点一下换一个!"
"questions_service_hotline","如果有任何疑问，请您联系客服热线："
"free_register","还不是会员，在此免费注册"
"products_show","产品展示"
"illustrated_display_product","图文并茂展示产品信息，让买家主动找到您！"
"online_business","在线商机"
"internet_power_promotion","一举名天下的互联网强力推广！"
"talents_join","展示企业实力，吸引更多人才加入！"
"agent_join","代理加盟"
"development_agent_join","代理和加盟要求，发展自己的加盟商。"
"company_news","企业新闻"
"display_company_news","展示企业动态，彰显企业文化！"
"classifieds","分类广告"
"free_classifieds","最有效的免费广告！全方位提高曝光率！"
"add_market","添加市场库"
"added_market_info","补充市场库信息"
"recommended_market","为你推荐的专业市场库"
"added_market","补充市场库"
"market_info","市场库信息"
"market_name","市场名称："
"market_name_n","市场名称"
"market_introduction","市场介绍："
"submit_market","提交该市场库信息"
"input_market_name","请输入市场名称"
